direction,seed,split_seed,device_id,label,file_path,window_index,sample_offset,block,role,shot_k
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,46,3606354,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,47,3684753,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,48,3763152,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,49,3841551,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,50,3919950,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,51,3998349,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,52,4076748,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,53,4155147,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,54,4233546,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,55,4311945,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,56,4390344,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,57,4468743,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,58,4547142,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,59,4625541,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,60,4703940,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,61,4782339,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,62,4860738,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,63,4939137,A,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,64,5017536,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,65,5095935,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,66,5174334,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,67,5252733,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,68,5331132,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,69,5409531,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,70,5487930,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,71,5566329,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,72,5644728,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,73,5723127,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,74,5801526,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,75,5879925,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,76,5958324,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,77,6036723,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,78,6115122,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,79,6193521,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,80,6271920,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,81,6350319,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,82,6428718,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,83,6507117,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,84,6585516,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,85,6663915,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,86,6742314,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,87,6820713,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,88,6899112,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,89,6977511,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,90,7055910,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,91,7134309,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,92,7212708,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,93,7291107,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,94,7369506,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,95,7447905,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,96,7526304,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,97,7604703,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,98,7683102,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,99,7761501,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,100,7839900,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,101,7918299,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,102,7996698,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,103,8075097,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,104,8153496,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,105,8231895,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,106,8310294,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,107,8388693,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,108,8467092,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,109,8545491,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,110,8623890,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,111,8702289,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,112,8780688,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,113,8859087,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,114,8937486,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,115,9015885,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,116,9094284,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,117,9172683,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,118,9251082,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,119,9329481,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,120,9407880,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,121,9486279,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,122,9564678,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,123,9643077,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,124,9721476,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,125,9799875,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,126,9878274,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,127,9956673,B,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,128,10035072,C,source_train,
rx1_to_rx2,0,0,1,0,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Receivers_Setup/Diff_Receivers_Setup_Indoor_SameTx/RX1/Device1_IQ.dat,129,10113471,C,source_train,
