dataset_index,file_path,window_index,sample_offset,label
20,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,20,12897940,0
21,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,21,13542837,0
22,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,22,14187734,0
23,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,23,14832631,0
24,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,24,15477528,0
25,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,25,16122425,0
26,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,26,16767322,0
27,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,27,17412219,0
28,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,28,18057116,0
29,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,29,18702013,0
30,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,30,19346910,0
31,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device1/IQ_1.dat,31,19991807,0
32,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,0,0,1
33,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,1,644897,1
34,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,2,1289794,1
35,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,3,1934691,1
36,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,4,2579588,1
37,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,5,3224485,1
38,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,6,3869382,1
39,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,7,4514279,1
40,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,8,5159176,1
41,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,9,5804073,1
42,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,10,6448970,1
43,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,11,7093867,1
44,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,12,7738764,1
45,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,13,8383661,1
46,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,14,9028558,1
47,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,15,9673455,1
48,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,16,10318352,1
49,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,17,10963249,1
50,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,18,11608146,1
51,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,19,12253043,1
52,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,20,12897940,1
53,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,21,13542837,1
54,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,22,14187734,1
55,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,23,14832631,1
56,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,24,15477528,1
57,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,25,16122425,1
58,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,26,16767322,1
59,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,27,17412219,1
60,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,28,18057116,1
61,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,29,18702013,1
62,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,30,19346910,1
63,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device2/IQ_1.dat,31,19991807,1
64,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,0,0,2
65,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,1,644897,2
66,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,2,1289794,2
67,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,3,1934691,2
68,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,4,2579588,2
69,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,5,3224485,2
70,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,6,3869382,2
71,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,7,4514279,2
72,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,8,5159176,2
73,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,9,5804073,2
74,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,10,6448970,2
75,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,11,7093867,2
76,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,12,7738764,2
77,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,13,8383661,2
78,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,14,9028558,2
79,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,15,9673455,2
80,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,16,10318352,2
81,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,17,10963249,2
82,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,18,11608146,2
83,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,19,12253043,2
84,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,20,12897940,2
85,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,21,13542837,2
86,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,22,14187734,2
87,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,23,14832631,2
88,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,24,15477528,2
89,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,25,16122425,2
90,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,26,16767322,2
91,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,27,17412219,2
92,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,28,18057116,2
93,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,29,18702013,2
94,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,30,19346910,2
95,/data1/hcc/llm4RF/data/raw/osu_lora/Diff_Days_Indoor_Setup/Day5/Device3/IQ_1.dat,31,19991807,2
