category,bibkey,title,authors,venue,year,doi_or_url,source_paper,status,why_cite,used_in_section,notes
Domain shift / metric learning,ma2025receiver_independent_rffi,Toward Channel-Robust and Receiver-Independent Radio Frequency Fingerprint Identification,Jie Ma; Junqing Zhang; Guanxiong Shen; Linning Peng; Alan Marshall,IEEE TIFS,2025,10.1109/TIFS.2025.3630316,paper_reading_notes.md,ABSTRACT_CHECKED,Receiver shift as separate domain factor; TIFS 2025 official version,02_related_work;07_discussion,Promoted from arXiv after DOI verification
Domain shift / TTA,wang2021tent,Tent: Fully Test-Time Adaptation by Entropy Minimization,Dequan Wang; Evan Shelhamer; Shaoteng Liu; Bruno Olshausen; Trevor Darrell,ICLR,2021,OpenReview uXl3bZLkr3c,paper_reading_notes.md,READ,TTA diagnostic context; small local gains,02_related_work;07_discussion,
Domain shift / TTA,lim2023ttn,TTN: A Domain-Shift Aware Batch Normalization in Test-Time Adaptation,Hyesu Lim; Byeonggeun Kim; Jaegul Choo; Sungha Choi,ICLR,2023,arXiv:2302.05155,paper_reading_notes.md,READ,BN/TTA batch composition caution,02_related_work;07_discussion,
Domain shift / metric learning,wen2016center_loss,A Discriminative Feature Learning Approach for Deep Face Recognition,Yandong Wen; Kaipeng Zhang; Zhifeng Li; Yu Qiao,ECCV,2016,10.1007/978-3-319-46478-7_31,paper_reading_notes.md,READ,Center loss / prototype compactness (ablation context),02_related_work,
Domain shift / metric learning,khosla2020supcon,Supervised Contrastive Learning,Prannay Khosla et al.,NeurIPS,2020,arXiv:2004.11362,paper_reading_notes.md,READ,Contrastive learning reference; SupCon ablation failed locally,02_related_work,
IoT security / authentication,zhang2019phy_layer_security_iot,Physical Layer Security for the Internet of Things: Authentication and Key Generation,J. Zhang; S. Rajendran; Z. Sun; R. Woods; L. Hanzo,IEEE Wireless Communications,2019,,snowball from shen2021 refs [5],TO_READ,PHY-layer IoT authentication motivation,01_introduction;02_related_work,
IoT security / authentication,yang2017iot_security_survey,A Survey on Security and Privacy Issues in Internet-of-Things,Y. Yang; L. Wu; G. Yin; L. Li; H. Zhao,IEEE Internet of Things Journal,2017,,snowball from shen2022 refs [1],TO_READ,IoTJ security survey,02_related_work,
IoT security / authentication,lorawan_spec,LoRaWAN Specification v1.0.4,LoRa Alliance,LoRa Alliance Spec,2020,https://lora-alliance.org/,standard,ABSTRACT_CHECKED,Protocol-layer security background,01_introduction,Use official spec citation in final pass
LoRa RFFI / OSU dataset,xu2015device_fingerprinting_survey,Device Fingerprinting in Wireless Networks: Challenges and Opportunities,Q. Xu; R. Zheng; W. Saad; Z. Han,IEEE Communications Surveys & Tutorials,2015,,snowball from shen2021 refs [2],TO_READ,General RFFI survey,02_related_work,
CNN-IQ / spectrogram RFFI baseline,cekic2020robust_wireless_fingerprinting,Robust Wireless Fingerprinting: Generalizing Across Space and Time,M. Cekic; S. Gopalakrishnan; U. Madhow,arXiv,2020,arXiv:2002.10791,snowball hamdaoui2022 refs [7],ABSTRACT_CHECKED,Domain generalization / fingerprinting confounds,02_related_work;05_experiments,Title/abstract verified via arXiv
CNN-IQ / spectrogram RFFI baseline,alshawabka2020exposing_fingerprint,Exposing the Fingerprint: Dissecting the Impact of the Wireless Channel on Radio Fingerprinting,A. Al-Shawabka et al.,IEEE INFOCOM,2020,10.1109/INFOCOM48880.2020.9155493,snowball hamdaoui2022 refs [9],ABSTRACT_CHECKED,Channel impact on RF fingerprinting,02_related_work,DOI verified via IEEE Xplore
CNN-IQ / spectrogram RFFI baseline,sankhe2019oracle,ORACLE: Optimized Radio Classification Through Convolutional Neural Networks,K. Sankhe et al.,IEEE INFOCOM,2019,10.1109/INFOCOM.2019.8737463,snowball hamdaoui2022 refs [8],ABSTRACT_CHECKED,Classic CNN RF fingerprinting system,02_related_work,DOI verified
OOB hardware impairment,hamdaoui2020deep_nn_features,Deep Neural Network Feature Designs for RF Data-Driven Wireless Device Classification,B. Hamdaoui; A. Elmaghbub; S. Mejri,IEEE Network,2021,10.1109/MNET.011.2000492,snowball hamdaoui2022 refs [6],ABSTRACT_CHECKED,RF-specific DNN feature design for device classification,02_related_work,Published 2021; DOI verified
OOB hardware impairment,zhou2021robust_rffi_iotj,A Robust Radio Frequency Fingerprint Extraction Scheme for Practical Device Recognition,X. Zhou; A. Hu; G. Li; L. Peng; Y. Xing; J. Yu,IEEE Internet of Things Journal,2021,10.1109/JIOT.2021.3054848,snowball from hamdaoui2022 refs [10],ABSTRACT_CHECKED,IoTJ RFFI robustness reference,02_related_work,DOI verified
IoT security / authentication,brik2008wireless_device_id,Wireless Device Identification with Radiometric Signatures,V. Brik; S. Banerjee; M. Gruteser; S. Oh,ACM MobiCom,2008,10.1145/1409944.1409959,snowball shen2022 refs [3],ABSTRACT_CHECKED,Classic radiometric fingerprinting,01_introduction;02_related_work,DOI verified
LoRa RFFI survey,ahmed2024lora_rffi_survey,A Comprehensive Survey on Deep Learning-Based LoRa Radio Frequency Fingerprinting Identification,A. Ahmed; B. Quoitin; A. Gros; V. Moeyaert,Sensors,2024,10.3390/s24134411,user expansion plan,ABSTRACT_CHECKED,LoRa RFFI survey anchor,02_related_work,MDPI metadata verified
LoRa RFFI survey,xie2024rffi_iot_survey,Radio Frequency Fingerprint Identification for Internet of Things: A Survey,L. Xie; L. Peng; J. Zhang; A. Hu,Security and Safety,2024,10.1051/sands/2023022,user expansion plan,ABSTRACT_CHECKED,IoT RFFI survey anchor,02_related_work,Publisher DOI verified
CNN-IQ / spectrogram RFFI baseline,alshawabka2021deeplora,DeepLoRa: Fingerprinting LoRa Devices at Scale Through Deep Learning and Data Augmentation,A. Al-Shawabka et al.,ACM MobiHoc,2021,10.1145/3466772.3467054,user expansion plan,ABSTRACT_CHECKED,Scalable LoRa fingerprinting / data augmentation,02_related_work,DOI verified
IoT security / authentication,xie2021physical_layer_auth_survey,A Survey of Physical-Layer Authentication in Wireless Communications,N. Xie; Z. Li; H.-J. Tan,IEEE Communications Surveys & Tutorials,2021,10.1109/COMST.2020.3042188,user expansion plan,ABSTRACT_CHECKED,PHY-layer authentication survey,02_related_work,IEEE metadata verified
IoTJ RFFI precedent,xie2018coherent_rff_iotj,Optimized Coherent Integration-Based Radio Frequency Fingerprinting in Internet of Things,F. Xie et al.,IEEE Internet of Things Journal,2018,10.1109/JIOT.2018.2875948,user expansion plan,ABSTRACT_CHECKED,IoTJ RFFI precedent,02_related_work,DOI verified
LoRa RFFI / OSU dataset,zanella2014iot_smart_cities,Internet of Things for Smart Cities,A. Zanella; N. Bui; A. Castellani; L. Vangelista; M. Zorzi,IEEE Internet of Things Journal,2014,,snowball shen2021 refs [1],TO_READ,IoTJ smart-city IoT motivation,01_introduction,
Domain shift / metric learning,sun2016deep_coral,Deep CORAL: Correlation Alignment for Deep Domain Adaptation,B. Sun; K. Saenko,ECCV Workshops,2016,,project ablation history,EXCLUDE,Local CORAL+IM did not help main line; optional appendix only,07_discussion,Not in refs.bib unless appendix mentions
RF sequence modeling / attention,dosovitskiy2021vit,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,A. Dosovitskiy et al.,ICLR,2021,,optional,EXCLUDE,Not RF-specific; avoid padding references,,
RF sequence modeling / attention,zhai2024hstu,Actions Speak Louder than Words: Trillion-Parameter Sequential Transducers for Recruiting Recommendation,S. Zhai et al.,Meta technical report,2024,,web,EXCLUDE,Marketing name collision with RF-HSTU; only cite if explicitly derived,04_method,Current RF-HSTU is project-specific minimal block
IoT security / authentication,abbas2021iot_rf_fingerprinting_security,Improving Security of the Internet of Things via RF Fingerprinting Based Device Identification System,S. Abbas et al.,Neural Computing and Applications,2021,10.1007/s00521-021-05804-9,snowball hamdaoui2022 refs [2],TO_READ,IoT device ID via RF fingerprinting; complements PHY-auth motivation,01_introduction;02_related_work,Verify abstract before promotion; not yet in refs.bib
IoT security / authentication,elsayed2019ai_wireless_networks,AI-Enabled Future Wireless Networks: Challenges Opportunities and Open Issues,M. Elsayed; M. Erol-Kantarci,IEEE Vehicular Technology Magazine,2019,10.1109/MVT.2019.2927802,snowball hamdaoui2022 refs [5],TO_READ,Optional IoT/wireless AI context,02_related_work,Low priority; skip unless Related Work needs filler
Domain shift / adversarial,lalouani2021countering_radiometric,Countering Radiometric Signature Exploitation Using Adversarial Machine Learning Based Protocol Switching,W. Lalouani; M. Younis; U. Baroudi,Computer Communications,2021,10.1016/j.comcom.2021.04.023,snowball hamdaoui2022 refs [15],TO_READ,Radiometric signature / spoofing context for limitation paragraph,07_discussion,Optional; cite only if discussing adversarial PHY auth
CNN-IQ / spectrogram RFFI baseline,liu2017dnn_modulation_classification,Deep Neural Network Architectures for Modulation Classification,X. Liu; D. Yang; A. El Gamal,Proc. IEEE Asilomar,2017,,snowball hamdaoui2022 refs [14],TO_READ,General RF DNN architecture context,02_related_work,Low priority; modulation not LoRa-specific
IoT security / authentication,ferrag2018iot_security_survey,Internet of Things Security: Current Status Emerging Issues and Challenges,A. Ferrag; M. Derdour; M. Mukherjee; A. Derhab; L. Maglaras; H. Janicke,Computer Networks,2018,10.1016/j.comnet.2017.10.026,external snowball,TO_READ,General IoT security survey alternative to yang2017,02_related_work,Verify relevance before competing with yang2017
LoRaWAN security,sforza2017lorawan_security,LoRaWAN Security: A Practical Analysis,S. Sforza,Proc. IEEE IoT Vertical and Topical Summit,2017,,external snowball,TO_READ,LoRaWAN-specific security (not PHY RFFI),01_introduction;02_related_work,Verify venue/metadata before cite
